TID,item
638,48 248 299 421 497 570 613 803 910 994
639,26 36 300 863 955 984 989
640,125 201 207 721 973
641,11 80 124 127 169 189 227 385 472 549 732 737 833 885
642,675 722 973 992 994
643,63 67 100 209 300 336 412 487 722 799 820
644,405 436 441 445 472 553 557
645,142 326 368 422 442 471 493 524 570 699 738 761 899 996
646,19 70 212 215 273 432 471 518 565 598 628 790 894 908 992
647,109 444 522 628 764 807 868 959 973
648,76 215 273 294 342 371 471 565 720 782 800 813 827 878 894 908 909
649,306 331 444 612 764 800 807 808 829 870 894 902 959 973
650,42 212 238 259 677 767
651,118 336 344 444 478 631 717 943 950 962 994
652,34 87 99 192 212 420 527 594 634 951
653,293 467 571 747 904 914
654,49 87 221 248 598 628 649 729 879 890 902 915 988
655,14 66 518 902 903
656,76 119 154 342 683 722 830
657,85 112 148 201 293 371 421 471 480 506 601 607 613 628
658,17 36 117 132 261 314 335 432 490 559 647 674 717 729 811 873 926
659,38 63 70 124 182 259 470 473 545 592 601 604 607 614 642 656 682 753 852 868 906 996
660,216 221 255 447 484 493 566 584 624 700 925 939
661,238 331 368 709 754 800 808
662,118 137 146 235 240 241 259 456 521 662 774 916 946 962
663,17 154 198 238 437 490 837 914
664,19 38 144 277 524 652 947
665,146 154 215 293 331 535 565 722 800 808 828 908
666,3 19 70 119 173 222 241 247 350 414 471 790 859 894
667,38 61 129 238 289 371 374 405 442 444 445 456 549 553 557 989
668,11 17 42 89 124 127 188 291 549 604 676 797 946
669,43 63 335 619 949
670,38 69 117 236 405 520 601 732 740 883 924 959 973
671,8 163 200 238 321 395 453 472 541 689 806 992 994 996
672,36 43 155 374 436 529 553
673,216 255 261 282 447 460 493 699 700 916 939 963
674,71 87 159 203 217 430 559 613 647 915
675,38 214 221 501 913
676,19 36 70 168 215 558 790 894 909 988
677,28 71 119 182 463 464 494 527 798 993
678,221 259 283 360 511 553 575 591 607 764 800 828 870 878
679,128 705
680,66 127 360 402 405 656 761 946 988
681,49 649 879 890 902 915 988
682,51 132 155 188 346 388 514 550 567 631 667 765 908 933 989
683,5 40 66 100 230 293 325 521 667 818 826 896 936
684,63 432 595 604 737 743 744 961
685,0 7 42 238 259 314 409 575 592 677 767
686,71 163 238 403 493 607 619 638 747 753
687,19 43 63 125 201 207 277 335 619 721 949 973
688,85 240 293 317 456 592 595 598 619 729 806 807 835 925
689,14 49 491 779 909
690,132 187 456 493 626 650 656
691,300 336 738 863 864 955 984 989
692,63 432 743 961
693,51 188 316 344 346 667 790 806 822 825 849 908 933 963
694,80 472 732 833 885
695,148 150 381 439 899 934 950
696,72 132 187 291 493 558 650 656 738 778 851
697,8 132 176 219 387 442 451 704 806 988 992
698,69 155 360 444 447 540 595 722 832 917
699,36 282 314 439 553 885
700,63 144 214 432 444 501 524 553 559 652 743 902 913 947 961
701,102 237 316 318 404 433 628 631 638 721 764 934 981
702,14 66 106 163 201 518 531 902 903 994
703,568 732 744 885 903
704,63 326 656 707 771 807 852 868
705,169 420 555 559 722 829 934
706,26 118 405 437 444 478 497 526 531 549 558 614 615 631 638 948
707,132 187 209 442 493 626 650 831 874
708,0 7 80 314 409 444 472 522 575 592 737 764 807 833 885 959 973
709,38 201 212 464 578 671 824 895 992 994
710,23 36 246 331 368 737 800 808 827 831 871
711,229 403 592 744 824 868 937 992
712,89 118 124 344 427 473 592 601 607 614 642 867
713,136 142 160 185 306 388 429 584 723 803 870 894 902
714,36 150 437 547
715,60 137 168 472 644 674 717 876 973
716,25 28 241 453 553 555 592 620 676 738 744 832 937
717,62 568 575 732 744 784 803 885 903
718,209 237 372 442 574 628 673 831 874
719,219 279 412 531 644 723 780 966
720,3 111 132 237 451 487 488 523 558 799 961
721,87 116 146 188 360 510 527 623 729 863 974
722,70 74 93 108 182 209 238 259 281 359 424 442 550 827 831 874 961 981 984
723,19 111 163 277 493 599 619 741 753
724,105 289 456 924
725,128 172 221 318 330 461 544 559 697 832 974 978
726,117 205 827 988
727,81 286 304 388 642 766
728,63 116 246 320 420 463 472 514
729,20 28 36 38 74 118 135 150 227 359 368 399 427 437 547 745 840
730,62 222 240 293 443 456 466 560 565 883
731,76 201 222 240 293 342 722
732,83 221 402 429 471 510 550 607 640 815 877 913 950
733,28 57 135 170 203 319 517 571 583 674 697
734,112 163 421 480 613 925
735,222 227 317 442 713 961
736,306 324 374 443 486 523 656 745 852 870 876 894 902 973 992 994
737,400 480 512 868
738,51 132 150 163 289 493 550 619 667 738 753 994
739,132 238 464 490 527 614 798 837 914 988 993
740,3 125 139 145 201 207 258 721 886 973
741,3 14 124 405 442 445 471 504 553 557 607 631 737
742,33 259 360 377 543
743,432 743 833 961
744,17 255 259 289 335 432 486 490 628 778 811 962
745,51 62 444 550 575 667 697 709 784 803 996
746,116 139 202 307 443 470 497 723 795 973
747,67 71 87 159 180 217 267 293 410 430 465 559 561 747 837 884 891 914 915 921
748,25 117 119 540 592 688 744 821 830 937
749,124 332 432 559 715 992
750,14 66 127 132 163 402 405 442 518 614 902 903 988
751,3 36 111 451 453 487 488 523
752,38 69 154 201 248 258 371 413 478 558 607 676 800 806 813 879 920 978 987
753,3 76 111 342 405 451 487 488 688 722 809
754,116 146 974
755,92 318 445 456 545 837 863 910
756,71 238 374 403 553 607 638 747 925
757,36 146 444 453 478 535 550 631 828
758,17 142 326 442 471 493 674 707 738 807 899 996
759,94 132 154 187 316 493 511 626 628 650 656 764
760,85 176 307 443 470 622 717 723 959 973 994
761,89 571 673 938 950 996
762,34 66 87 360 594 634 656 761 946
763,62 85 123 404 459 475 619 676 745
764,40 62 95 443 507 561 647 673 827 863
765,17 80 154 293 334 374 432 437 531 667 751
766,43 63 335 444 478 631 705 713 949
767,39 238 366 368 405 442 445 553 557 709 950 961
768,62 80 173 222 374 414 432 472 531 574 676 796 824 859
769,124 135 229 281 423 644 951 966
770,81 286 304 405 472 494 521 549 642 678 766 855
771,117 221 231 442
772,33 106 154 201 289 344 590 667 674 683 806 994
773,48 93 221 234 432 720 999
774,9 85 236 237 318 372 480 604 628 744 805 961
775,57 170 319 405 442 445 553 557 571 697
776,132 187 493 534 626 650 656 773 829
777,83 97 144 318 595 662 673 870
778,28 71 119 182 241 281 463 494 553 555 644 676 832 966
779,33 57 106 163 170 201 289 291 319 398 493 592 619 697 720 753 994
780,39 54 93 316 463 770 833 863 885 903
781,93 209 368 455 486 619 799 917 973 992
782,14 127 480 645 662 717 886 899 987
783,523 595 613 709 729 829 944
784,48 132 187 259 299 449 491 493 626 649 650 656 782 797 874
785,14 66 81 118 163 286 304 427 518 642 766 902 903
786,405 497 526 549 638
787,544 553 727 820 909
788,33 54 116 150 221 259 311 492 550 675 829 974 981
789,85 222 240 291 456 852 925
790,34 87 99 212 259 339 571 594 634 737 797 939
791,188 193 346 353 412 449 484 524 709 908 909 933
792,35 453 620
793,405 442 445 553 557 607 828 870 959
794,62 117 540 544 553 565 688 727 820 821 909
795,19 48 70 188 215 439 790 800 894 908
796,3 111 286 451 471 487 488 492 523 550 592 803 807 931 989
797,71 83 132 147 154 187 238 403 493 607 626 638 650 656 683 747 845
798,48 54 93 221 234 316 863 999
799,25 70 182 424 543 592 707 744 778 811 937
800,14 127 201 222 293 319 403 432 480 645 662 670 707 717 820 835 915 987 994
801,216 307 375 428 892 901 948 988
802,23 36 92 442 456 545 827 831 863 889 910
803,237 306 318 372 472 577 626 628 857 961
804,34 87 99 212 594 634
805,3 69 117 154 209 236 368 455 520 619 883 917 924 959
806,14 62 238 293 311 490 574 728 747 831 837 914 973
807,28 40 71 119 182 316 463 494 858 917
808,118 241 259 273 333 439 484 566 584 624 662 946 962
809,24 40 63 130 267 274 419 439 456 509 553 670 717 732 908 999
810,69 306 444 447 480 604 706 722 744 832 867 870 894 902
811,5 40 144 293 325 521 524 652 667 947
812,8 102 163 321 404 453 472 631 689 934 961
813,132 187 412 493 553 626 650 656 852 925
814,61 63 139 495 623 743 959 961
815,5 34 40 87 99 212 293 348 500 521 594 631 634 739
816,137 142 146 235 442 471 493 521 761 774 913 916 996
817,109 414 795 827
818,71 87 146 154 159 217 430 535 559 722 915
819,93 123 331 444 480 592 896 959 991
820,259 545 604 682 753 906 996
821,69 117 180 231 236 344 410 472 520 717 883 891 924 950 959
822,14 38 66 163 371 444 478 518 631 902 903
823,38 63 432 435 729 799 930 965
824,425 833
825,109 144 148 327 344 360 414 436 523 626 674 795 827 991
826,33 116 157 360 374 486 604 705 713 753 859 880
827,150 289 738 994
828,0 87 171 194 238 246 300 636 662 729 778 790 938
829,109 144 414 523 662 795 827 991
830,221 241 259 283 293 555 676 747 832 941
831,39 93 137 146 154 535 647 770 827 828 833 970
832,221 631 870
833,3 186 405 464 496 526 733 899
834,78 118 139 241 259 662 767 946
835,8 19 70 215 683 790 894 939
836,118 132 187 214 427 444 493 501 626 650 656
837,49 238 282 293 368 560 649 673 783 902 915 988
838,3 66 123 143 246 360 464 496 656 761 797 924 946
839,17 38 132 464 717 994
840,20 212 540 571 607 634 671 674 824 895 970 974 992
841,11 38 51 126 168 201 222 281 293 350 374 409 414 553 575 815 868 925 941
842,25 142 442 471 493 509 592 738 744 761 937 996
843,216 283 707 828 921 966
844,132 168 214 222 517 671 761 895 988
845,182 204 274 336 377 395 425 471 607 871 989
846,238 409 541 559 671 707 811
847,9 116 146 510 628 874 974
848,8 150 191 247 381 693 808 820 837 883
849,83 150 155 246 388 514 567 631 656 687 765 807 829 853
850,240 293 456 595 598 619 729 807 835 925
851,116 374 794 806 850 993
852,199 212 314 444 478 492 550 571 631 925
853,28 35 85 117 147 286 371 418 800 806 808 925 926
854,38 154 306 335 405 445 557 619 773 870 894 902
855,36 154 449 544 553 647 727 820 849 909
856,83 219 246 295 336 395 425 687 767 829
857,28 69 89 555 592 715 809 879
858,116 146 510 974
859,40 142 188 291 398 442 471 493 592 738 761 863 996
860,118 229 403 824 868 943 962 992 994
861,117 241 314 423 534 555 658 676 721 820 832 941 942 988
862,68 201 203 293 578 662 669 710 787
863,36 336 395 415 425 442 512 628 874
864,39 148 293 327 330 331 409 436 651 707 709 811 829 925
865,28 69 238 331 490 555 592 800 808 809 837 914
866,8 12 69 157 293 432 439 456 732 999
867,39 51 314 335 338 432 445 490 667 709 811 996
868,3 28 35 148 229 263 336 409 418 518 744 775 778 909
869,73 128 293 486 511 705 761 849 894
870,38 40 87 148 247 471 497 559 607 629 663 859 914
871,117 221 231 277 368 442 895
872,20 38 156 326 527 737 860 894
873,83 132 168 222 259 470 517 518 545 604 662 673 682 761 988 996
874,97 144 301 318 559 595 622 706 794 830 870 902
875,97 318 524 577 883
876,29 127 219 322 391 442 444 527 531
877,209 293 420 634 652 656 797 927
878,127 174 524 807 832 879 901
879,0 7 66 314 344 374 409 472 518 575 592 671 717 785 807 874 903 950
880,8 163 321 453 472 689
881,29 127 219 322 391 442 444 527 574 673
882,132 168 222 517 761 988
883,51 132 187 493 550 626 650 656 667
884,71 87 128 132 159 217 221 318 329 330 430 545 559 915 998
885,247 389 534 571 601 740 829 978
886,11 93 214 412 444 501 707 720 903 913
887,559 902 974
888,17 85 176 316 622 644 717 782 832 992 994
889,22 153 374 466 545 553 604 973
890,8 318 331 350 399 486 524 610 938 970
891,87 360 527 553 623 634 729
892,34 48 87 99 212 299 497 594 634 797 910
893,8 125 176 180 201 207 219 231 387 410 721 891 973 992
894,80 405 445 472 553 732 737 833 885
895,163 331 412 493 553 753 800 852 925
896,132 168 222 517 761 988
897,118 427 598 628 729
898,49 649 879 890 902 915 988
899,238 318 326 368 422 445 541 570 837 899
900,79 405 432 454 472 529 767 938
901,19 22 222 240 277 456 549 699
902,540 571 607 634 674 776 974
903,26 36 42 188 676 863 946 981
904,17 154 318 437 445 480 511 706 731 800 837 961
905,5 23 40 212 293 327 510 521 527 553 565 671 824 846 895 992
906,215 247 335 571 592 601 671 729 740 852
907,63 212 336 395 425 432 435 671 729 799 824 895 992
908,3 221 229 311 377 558 675 722 946
909,38 174 216 307 335 375 428 832 879 901
910,29 63 97 147 310 391 753 807 877 973
911,238 247 282 368 673 693 820
912,63 212 248 405 421 497 526 549 570 613 638 656 803 852 868 992
913,150 191 566 624 786 808 837 883
914,36 155 203 436 553 583
915,132 137 168 231 442 614 647 737 756 827 970 988
916,10 72 87 150 182 534 546 604 656 682 807 820 853
917,19 70 71 154 215 238 435 607 638 747 790 894
918,28 127 148 211 319 599 868 872 877
919,52 209 338 442 616 719 831 874
920,11 51 238 350 559 575 663 783 914
921,57 63 69 117 170 236 247 319 432 520 571 693 697 743 820 883 924 951 959 961
922,62 575 603 604 709 784 799 803 859 889
923,89 170 240 293 456 595 598 619 729 807 835 925
924,50 318 331 344 350 446 463 471 610 667 806
925,74 89 106 118 344 368 427 720 745 800 867
926,517
927,69 200 541 544 709 729 806 829 992 994 996
928,93 123 155 331 444 480 567 592 896 959 991
929,80 289 409 707 811 867
930,11 17 86 128 132 266 318 330 364 542 628 673 717 904 998
931,19 38 212 374 486 604
932,8 12 69 142 157 293 442 471 493 738 761 996
933,19 85 148 212 318 331 350 371 432 559 610 628 992
934,23 154 159 327 368 527 553 565 745 846
935,62 139 311 517 574 728 927 951 973 988
936,69 117 236 520 883 924 959
937,59 63 139 273 289 344 517 565 647 863 909 927 951 988
938,8 14 66 163 518 807 902 903 970
939,73 128 511 705 894
940,240 293 415 456 512 595 598 619 729 807 835 925
941,209 293 420 480 524 634 652 656 706 731 797 867 927
942,155 231 318 331 350 368 374 610 806 848 850 895
943,51 132 261 339 395 550 667 714 907
944,36 155 168 241 259 374 511 558 662 800 806 848 850 909 946 962 988
945,71 87 89 116 139 159 202 217 430 497 559 715 795 879 915
946,43 374 540 647 807 973
947,136 142 160 584 803
948,132 169 209 215 273 432 471 472 482 565 592 767 908 909 938
949,146 154 535 553 722 828 852 925
950,23 36 442 827 831 889
951,70 215 344 514 571 674 894
952,23 36 442 592 744 827 831 889 937
953,81 137 222 227 412 442 524 666 713 744 764 909 937 961 970
954,127 544 553 727 807 820
955,68 87 170 221 248 293 376 418 446 514 631 662 669 704 710 787 827 859
956,144 405 442 445 553 557 595 867 951
957,123 595 628 722
958,128 173 221 318 330 414 859 998
959,61 129 238 374 444 549 989
960,36 116 139 202 453 497 795
961,119 421 480 555 559 610 613 629 803 825 830 879 915
962,28 248 263 359 399 402 421 570 603 613 699 803 840 947
963,486 569 799 883 910 973 992
964,128 318 330 359 550 733 998
965,142 442 471 493 738 761 996
966,36 280 403 435 595 607 638 747 808 811 961
967,39 338 359 445 550 709 733 827
968,36 42 124 183 188 331 405 544 557 676 789 863 946
969,8 69 117 163 236 321 453 472 520 689 883 924 959
970,71 87 159 217 559 915
971,17 464 753 845 893 899
972,76 221 280 342 610 631 679 722 733 870
973,36 181 214 221 263 277 283 559 569 684 707 799 828 883 910 966
974,86 324 439 568 574 673 954 981 993
975,8 163 198 314 321 409 453 472 589 689 737 797
976,62 193 676 813 953
977,48 171 496 561 709 876 913
978,142 442 471 493 738 761 996
979,50 446 463 571 603 832 855 917 925 973
980,14 66 163 518 808 902 903
981,767
982,61 129 238 374 444 488 521 549 607 937 989 991
983,59 63 69 117 210 236 344 520 623 647 778 863 883 924 959
984,19 34 70 87 99 212 215 339 594 634 683 790 894 907
985,8 163 321 453 472 689
986,267 339 439 456 595 732 907 999
987,9 39 180 293 342 359 446 511 608 651 709 721 829
988,69 71 87 117 159 217 236 430 520 559 883 924 959
989,8 163 188 321 453 800 908
990,34 87 99 128 140 188 212 229 316 403 511 561 594 634 638 705 764 824 868 894 903 981 992
991,0 171 237 238 300 316 318 372 555 626 628 662 689 790 795 902 961 978 994
992,19 69 70 215 216 342 486 511 604 608 647 662 790 894
993,39 51 89 209 344 415 429 624 715 769 879 885 961
994,0 7 150 314 409 575 592
995,79 83 180 402 429 444 471 477 510 558 607 668 676 877 913 978
996,59 63 148 150 344 381 402 423 439 481 511 608 647 778 863 899 934 950
997,326 405 442
