,CPU,RAM,GPU,SSD,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,target
1854,7,3,8,0,1,4,5,7,3,3,1,8,2,5,9,9,7,1,0,2,2,0,9,4,8,7,3,0,8,7,0
1855,3,9,4,8,9,3,7,2,8,1,8,9,1,2,2,7,7,1,3,1,8,3,5,9,6,8,3,6,9,8,0
1856,9,2,4,8,3,9,6,5,3,3,3,6,3,8,1,2,9,3,0,1,6,1,4,6,1,4,2,9,5,2,0
1857,0,8,5,7,0,7,3,9,4,1,7,2,3,7,7,7,3,7,2,2,3,6,2,3,3,4,8,6,5,8,0
1858,3,5,7,0,1,7,1,4,9,1,4,0,7,3,2,4,4,0,3,0,5,5,9,8,9,8,0,7,2,0,0
1859,0,0,4,9,6,2,0,0,6,7,8,0,1,3,1,4,9,5,8,7,9,7,0,8,0,2,8,4,8,6,0
1860,7,8,0,7,7,0,5,4,8,4,4,2,8,2,2,0,6,8,0,6,6,0,1,1,3,3,7,9,4,1,0
1861,1,9,7,3,8,1,9,7,8,3,4,7,5,2,0,4,4,2,2,4,0,8,7,5,5,6,5,2,0,8,0
1862,4,2,6,8,0,7,4,4,2,5,3,3,2,6,3,6,1,0,1,4,6,3,6,2,8,6,5,0,0,5,0
1863,2,5,8,9,8,4,0,3,0,1,7,2,2,2,3,4,8,1,5,5,6,5,9,4,0,9,3,6,0,3,0
1864,7,3,7,7,0,9,5,4,3,5,4,9,5,0,0,3,1,2,6,9,0,4,6,3,2,8,4,0,1,0,0
1865,2,8,2,1,9,8,1,5,9,6,8,1,9,6,4,6,9,5,5,5,7,8,3,5,8,4,0,8,9,5,0
1866,3,6,5,0,0,1,7,7,2,6,5,6,6,9,0,1,7,4,4,7,9,6,2,1,7,3,0,0,2,5,0
1867,9,8,6,3,8,2,8,2,7,7,7,9,9,0,3,2,0,9,4,3,6,9,2,4,0,7,5,7,7,8,0
1868,3,4,1,2,3,8,9,2,9,9,1,5,6,0,1,5,6,0,4,2,0,7,8,0,3,4,0,7,8,1,0
1869,5,9,8,0,5,6,9,2,7,3,1,5,8,6,9,2,9,1,5,4,4,1,4,6,3,7,0,3,1,8,0
1870,0,7,7,5,3,6,9,3,0,6,7,7,1,9,0,7,3,3,8,0,8,8,0,6,3,7,7,5,5,7,0
1871,7,2,1,8,7,5,1,2,7,6,4,2,0,5,1,6,5,6,8,8,2,7,4,1,2,8,1,1,6,6,0
1872,2,5,6,8,5,6,9,1,5,4,5,9,9,1,9,9,1,7,5,7,6,2,7,6,0,1,2,4,0,1,0
1873,8,8,3,3,2,9,3,0,2,7,6,9,0,4,0,9,5,6,0,7,3,1,5,9,1,3,9,6,1,9,0
1874,6,4,9,3,6,4,2,2,0,5,8,1,1,4,0,5,2,5,8,3,2,4,0,4,8,6,1,8,8,9,0
1875,8,0,1,5,3,5,2,2,9,1,3,1,3,7,5,7,3,0,0,4,7,7,5,0,4,7,9,8,2,5,0
1876,5,9,1,3,9,4,8,0,8,3,6,2,1,1,1,9,6,4,4,0,4,4,4,3,7,2,3,6,4,1,0
1877,0,8,6,6,4,5,8,6,9,6,2,5,6,0,2,2,0,3,0,6,5,1,9,5,7,0,1,5,1,0,0
1878,8,3,6,5,6,0,4,4,5,9,2,8,3,1,4,6,5,8,1,7,2,9,1,7,9,4,8,4,9,5,0
1879,4,9,4,4,9,5,3,3,4,2,1,3,3,5,4,2,2,9,8,4,7,6,9,7,4,5,8,8,3,8,0
1880,1,7,1,2,5,2,5,4,9,7,6,7,4,9,1,2,1,2,9,5,7,2,1,5,1,0,5,9,5,8,0
1881,4,8,2,9,2,2,5,4,0,8,5,3,6,7,2,9,1,4,3,7,5,2,0,8,2,9,6,2,9,6,0
1882,3,4,0,1,3,0,1,1,9,5,0,0,8,1,7,8,6,9,6,2,3,8,0,8,0,7,7,8,3,7,0
1883,1,7,3,3,1,0,7,0,8,8,2,7,4,0,1,8,8,9,9,2,2,6,6,8,6,7,0,8,4,3,0
1884,4,2,6,0,6,6,6,1,7,0,4,0,0,5,6,0,0,6,7,5,5,9,1,2,1,3,6,1,4,6,0
1885,7,4,4,5,1,4,8,7,0,7,1,0,2,3,9,0,0,3,1,7,5,3,8,7,4,5,8,5,9,7,0
1886,7,3,0,3,2,0,6,0,7,7,9,8,7,5,0,4,0,8,4,5,3,2,9,4,4,5,3,9,7,4,0
1887,5,2,8,7,1,9,5,6,1,3,4,3,9,9,7,6,8,5,4,0,6,5,6,7,6,0,3,9,0,5,0
1888,1,5,0,7,9,3,8,9,6,1,0,0,9,7,7,4,3,8,0,0,1,0,3,1,6,4,4,5,4,8,0
1889,0,3,3,4,5,6,3,8,7,1,7,8,4,6,4,2,7,6,6,2,7,9,1,2,2,4,6,4,7,6,0
1890,9,3,2,8,4,2,6,7,5,4,7,5,1,3,5,9,3,5,1,9,6,4,6,3,6,0,8,6,1,8,0
1891,2,7,5,1,0,1,5,0,1,9,8,8,8,6,7,8,8,6,0,2,6,4,5,0,0,1,8,2,4,0,0
1892,8,6,3,9,2,9,0,7,2,0,9,1,2,8,2,8,2,9,6,0,6,0,6,4,0,1,9,2,2,7,0
1893,0,5,7,6,8,7,9,2,0,1,5,0,4,9,0,7,9,1,1,6,8,9,6,4,4,8,3,4,7,1,0
1894,3,7,0,7,4,3,9,5,7,2,2,0,3,8,4,1,2,2,8,3,8,1,6,6,5,6,3,9,2,3,0
1895,0,8,2,9,6,2,9,2,8,4,9,0,0,3,6,9,8,2,6,9,1,6,6,2,4,0,5,9,6,0,0
1896,4,9,0,8,1,6,7,8,0,2,2,5,8,0,7,6,5,6,8,4,8,2,8,0,6,7,3,1,1,9,0
1897,3,7,3,3,4,3,4,0,0,9,5,7,5,5,9,9,0,1,5,3,3,0,8,2,6,5,0,9,7,3,0
1898,7,6,6,6,7,0,8,9,2,8,4,9,2,5,8,0,7,2,0,7,3,6,4,0,1,6,9,2,8,7,0
1899,6,3,9,4,5,1,4,7,3,4,8,3,7,2,6,1,3,0,8,9,3,0,3,7,1,3,4,9,4,3,0
1900,5,8,5,2,7,5,5,9,5,2,4,2,6,9,6,5,1,6,8,2,4,5,6,0,0,4,2,2,4,4,0
1901,4,9,3,9,9,2,2,0,9,0,5,4,2,3,7,1,4,6,5,5,8,6,1,5,6,3,5,2,4,2,0
1902,6,1,2,7,7,0,5,7,3,7,4,2,0,3,8,5,4,2,4,3,8,3,6,7,6,0,4,5,1,1,0
1903,8,4,6,8,7,5,1,8,3,4,9,4,5,1,9,1,4,1,0,6,8,4,7,6,6,1,7,9,7,3,0
1904,9,7,9,7,0,4,3,3,6,6,5,5,9,6,9,5,6,7,0,2,2,9,0,1,1,3,0,4,0,1,1
1905,5,3,0,3,8,6,6,3,1,2,3,1,6,5,0,7,0,1,2,7,3,5,9,6,4,1,7,7,2,8,0
1906,6,4,6,3,1,0,1,4,8,4,7,6,4,8,1,3,1,0,4,1,1,7,6,0,8,2,3,6,6,9,0
1907,4,5,8,3,4,3,7,3,2,1,4,4,0,6,7,8,6,2,1,5,9,7,6,1,3,4,3,8,3,0,0
1908,1,7,0,2,6,5,4,9,2,0,9,6,5,7,9,1,6,2,0,9,6,0,7,3,7,2,7,4,2,2,0
1909,1,6,6,1,8,9,0,2,6,8,6,7,5,2,1,6,3,5,6,5,9,8,7,8,2,5,3,3,1,8,0
1910,2,6,4,0,1,1,9,7,7,7,8,8,2,5,2,5,4,4,6,1,8,9,0,7,6,5,4,9,8,7,0
1911,7,9,1,9,1,7,6,1,3,5,8,2,8,5,0,1,1,8,0,0,8,1,6,5,7,4,8,0,0,2,0
1912,3,6,3,6,4,8,8,9,1,0,9,3,2,9,7,0,6,7,6,7,2,7,5,2,8,3,3,9,2,8,0
1913,2,5,1,7,9,3,5,0,3,8,7,0,1,0,6,9,6,5,1,4,2,9,4,2,8,5,6,4,7,6,0
1914,3,2,9,6,4,4,8,2,9,6,0,1,1,6,5,5,7,4,1,7,8,6,8,4,6,9,4,0,5,6,0
1915,6,8,7,8,6,8,2,7,2,6,2,7,9,0,1,7,5,9,2,2,3,4,9,0,9,8,9,2,2,8,0
1916,5,5,7,3,1,5,5,6,4,0,4,2,8,4,7,1,8,4,9,1,4,1,0,7,4,4,6,9,3,0,0
1917,1,3,3,9,5,5,2,1,5,6,1,8,4,0,1,0,6,5,5,3,9,1,8,8,9,8,5,4,3,7,0
1918,1,3,1,1,3,0,6,6,0,8,1,7,8,4,9,4,5,8,8,7,6,2,0,3,5,6,8,2,9,5,0
1919,4,1,2,0,7,7,0,9,8,5,0,0,8,1,7,8,6,2,6,5,3,8,0,0,7,6,9,0,8,8,0
1920,6,3,6,6,0,3,9,8,3,5,1,1,4,7,7,4,1,5,4,0,6,6,7,7,1,0,4,1,0,4,0
1921,6,9,3,6,1,4,5,8,7,2,7,6,4,7,9,4,5,0,3,5,6,2,6,5,7,5,1,3,6,8,0
1922,7,0,8,6,2,2,5,4,5,5,0,8,5,6,2,3,1,5,1,8,8,4,7,8,0,1,7,8,4,1,0
1923,6,4,0,9,8,1,2,7,1,1,1,3,4,6,5,6,2,8,0,9,1,9,1,3,1,2,4,6,9,3,0
1924,7,9,9,2,2,3,1,4,5,7,8,7,2,4,8,5,8,8,5,4,2,2,5,8,6,6,4,0,4,5,0
1925,8,3,4,7,5,5,5,9,3,0,8,1,9,3,1,4,5,5,4,0,2,6,7,8,0,0,4,6,8,4,0
1926,2,9,7,5,8,4,4,2,2,4,4,6,0,2,5,8,9,4,8,6,5,1,2,1,1,0,5,3,2,2,0
1927,2,8,6,5,3,6,5,5,8,6,8,0,3,7,4,3,6,9,0,9,5,5,2,7,5,9,9,8,1,3,0
1928,2,1,5,4,2,2,3,9,2,0,3,4,5,0,7,6,8,6,2,0,9,6,9,8,5,0,0,8,8,8,0
1929,6,5,2,2,3,5,3,9,0,3,1,6,7,9,3,2,9,1,6,6,9,3,5,3,6,9,5,5,1,2,0
1930,0,3,6,5,6,3,8,6,8,2,8,5,5,2,0,3,2,2,6,2,0,1,4,7,3,4,8,6,1,3,0
1931,8,4,6,6,7,5,2,7,1,4,7,7,8,0,0,3,2,7,3,5,9,6,2,5,9,7,1,9,9,0,0
1932,2,8,3,6,3,9,8,0,6,5,1,7,4,8,7,7,6,5,9,7,6,3,7,8,2,0,9,4,8,5,0
1933,8,2,5,9,8,9,3,0,7,3,8,6,9,9,3,1,2,8,6,0,4,7,3,2,6,3,6,8,8,2,0
1934,5,9,8,7,7,4,5,9,1,1,9,0,8,8,3,8,0,4,7,7,7,0,7,0,7,0,6,1,4,9,0
1935,1,0,7,0,8,1,1,4,3,0,5,9,0,0,2,1,8,3,5,9,0,4,4,6,3,9,9,5,1,0,0
1936,5,1,3,2,5,4,7,4,4,3,3,3,0,8,0,1,8,0,3,5,4,0,6,2,0,0,7,8,7,0,0
1937,1,2,3,6,3,0,3,6,5,3,2,2,3,6,9,0,3,0,8,4,8,9,9,1,9,6,4,7,7,6,0
1938,5,4,3,0,8,4,1,8,5,2,8,2,8,1,3,8,8,5,9,3,2,4,8,4,1,1,4,6,9,1,0
1939,4,5,8,1,1,3,1,3,4,6,1,8,2,1,0,0,7,6,4,0,0,8,2,6,8,7,0,4,2,1,0
1940,1,7,5,5,4,6,7,2,2,4,1,9,5,1,7,4,4,5,3,9,9,4,2,0,6,1,3,9,6,8,0
1941,7,5,9,4,2,2,5,3,1,1,0,7,2,5,8,6,7,0,2,8,9,8,8,0,1,9,9,6,4,3,0
1942,8,5,8,7,5,6,8,9,0,4,2,2,6,4,5,0,7,2,6,2,1,3,0,0,5,4,9,7,0,5,0
1943,5,8,2,9,4,3,3,3,1,1,5,1,3,9,5,7,9,7,0,8,3,1,2,0,6,9,0,0,6,1,0
1944,5,0,6,9,2,1,3,5,5,4,4,5,1,3,7,2,3,6,4,4,2,1,6,1,7,1,1,4,4,6,0
1945,5,0,7,3,8,2,5,9,6,7,4,2,3,4,9,8,8,2,3,5,9,1,8,1,3,4,9,3,0,1,0
1946,4,6,7,6,3,1,5,6,2,2,5,8,7,4,8,9,4,7,1,6,5,2,8,7,5,4,0,2,4,8,0
1947,8,4,5,3,3,5,6,2,5,4,8,2,8,9,2,3,6,5,5,5,2,3,4,8,9,6,5,0,8,1,0
1948,4,6,6,5,9,5,5,4,4,0,2,1,3,1,5,3,4,4,6,7,0,4,3,2,2,0,1,3,1,1,0
1949,4,7,3,3,0,6,9,0,4,7,0,8,5,9,8,9,5,9,9,5,0,8,9,8,3,2,5,0,2,4,0
1950,5,9,7,2,9,8,4,5,3,7,3,3,4,3,8,1,2,4,3,2,5,2,9,5,5,8,0,6,6,8,0
1951,0,1,6,1,0,6,8,7,8,8,0,3,5,3,2,5,8,8,2,1,6,7,2,0,1,9,1,3,1,5,0
1952,9,1,7,1,1,8,9,1,9,1,6,6,9,1,1,2,0,2,5,4,5,2,7,9,2,2,5,8,8,5,0
1953,9,4,4,0,3,8,9,2,2,0,6,0,0,1,7,3,6,2,3,5,7,6,2,7,8,4,0,1,6,9,0
1954,5,1,3,0,4,6,3,9,1,8,3,0,2,7,5,1,8,7,5,0,1,2,8,3,2,1,6,5,1,1,0
1955,9,7,5,5,5,2,4,2,4,3,6,7,7,8,0,0,2,8,2,5,5,5,0,2,7,9,2,4,4,8,0
1956,0,9,6,0,3,0,9,9,2,9,3,0,8,6,6,3,7,7,9,5,0,9,2,9,1,7,5,2,8,2,0
1957,0,5,9,4,7,1,1,5,3,1,7,1,9,4,0,3,0,7,7,7,4,7,2,4,5,9,9,7,6,8,0
1958,1,1,4,6,4,0,1,8,4,3,6,7,4,5,1,7,6,6,9,5,4,0,2,4,9,2,7,4,9,6,0
1959,9,1,5,0,6,8,0,2,8,2,4,2,0,5,3,1,0,1,4,8,3,7,8,3,3,3,0,3,3,6,0
1960,6,7,5,4,3,6,2,5,3,8,0,6,5,3,9,1,1,6,6,5,6,2,4,4,4,1,0,2,2,3,0
1961,9,8,8,2,8,8,5,9,8,2,0,0,1,1,4,8,1,7,5,4,6,4,5,6,4,7,3,8,2,9,0
1962,6,9,8,6,3,6,2,0,9,8,3,6,9,3,4,5,6,0,1,0,4,9,0,6,5,4,5,6,9,6,0
1963,7,4,5,0,8,9,0,5,8,7,1,0,8,5,1,0,4,5,0,3,7,9,0,2,4,7,6,6,0,8,0
1964,2,4,9,9,6,0,9,2,9,9,7,8,5,2,0,0,7,5,8,4,9,2,5,9,1,7,4,2,4,9,0
1965,1,5,1,8,8,8,9,1,8,2,6,3,1,2,5,4,0,3,5,4,3,1,0,6,2,1,0,6,3,1,0
1966,4,1,8,0,9,5,5,1,1,6,5,6,0,8,9,8,9,6,9,0,8,7,6,9,8,1,2,6,6,1,0
1967,3,8,7,7,9,9,3,9,7,4,1,4,0,3,9,7,5,1,2,1,8,0,3,2,3,1,0,1,3,3,0
1968,8,6,4,0,7,2,7,3,8,9,8,9,7,8,0,2,3,5,2,7,3,9,1,6,8,6,6,5,2,6,0
1969,9,8,7,6,3,7,9,0,1,0,0,5,3,3,1,9,7,4,8,5,4,8,1,5,7,5,8,1,1,4,0
1970,6,9,3,1,9,8,2,4,0,2,9,8,8,3,7,6,5,7,3,3,5,8,3,4,3,1,3,0,7,3,0
1971,2,3,8,5,3,6,1,6,7,8,8,5,7,5,3,7,5,1,6,2,4,0,0,4,5,8,0,4,9,7,0
1972,0,6,4,4,4,2,8,6,3,3,9,0,7,2,9,4,6,9,0,5,5,1,0,7,5,7,3,4,3,3,0
1973,6,4,8,9,5,8,9,1,8,4,0,7,0,3,4,3,9,7,6,2,3,2,4,4,3,4,2,5,2,2,0
1974,2,9,9,3,4,8,2,9,4,7,9,2,8,6,2,6,4,9,1,0,8,2,1,1,1,8,5,6,0,3,0
1975,1,6,5,6,1,3,2,2,6,1,3,9,1,6,5,5,9,1,5,8,4,2,5,5,3,1,8,7,4,3,0
1976,6,6,3,3,2,0,5,2,5,9,5,9,4,5,7,4,8,1,5,9,1,7,6,6,7,7,7,9,7,6,0
1977,2,6,0,8,2,0,3,5,4,8,2,6,3,5,7,1,1,0,6,9,5,5,1,0,9,6,7,6,4,5,0
1978,5,6,3,3,5,8,8,6,9,5,3,4,2,4,8,7,9,4,4,9,9,0,0,4,0,4,7,6,1,2,0
1979,0,5,1,4,6,8,5,8,9,3,7,5,3,5,3,2,0,0,6,6,2,7,1,5,9,3,7,9,7,5,0
1980,9,6,4,1,4,1,7,5,2,1,0,8,3,2,6,0,5,3,5,1,5,1,1,0,8,1,6,8,6,8,0
1981,7,6,0,1,2,5,4,9,8,8,6,7,2,3,4,2,4,9,0,3,3,4,9,0,1,6,4,0,7,2,0
1982,7,9,8,7,3,0,1,8,0,3,0,9,4,9,7,1,9,5,5,4,8,9,5,8,1,5,9,1,4,3,1
1983,4,0,3,9,9,5,5,2,7,7,2,0,7,9,9,1,7,7,2,1,9,3,1,9,1,1,2,6,6,4,0
1984,6,4,2,5,8,4,4,7,4,1,2,8,4,1,0,0,7,6,8,1,8,0,2,4,8,8,4,6,5,3,0
1985,4,7,5,5,9,9,9,8,8,1,6,4,1,6,0,5,0,9,4,3,4,9,1,3,4,4,0,7,4,0,0
1986,5,3,9,9,5,0,9,7,9,7,2,6,3,5,8,8,2,9,3,8,3,5,9,1,3,6,5,7,8,1,0
1987,5,1,7,8,5,5,7,7,7,0,3,9,2,7,5,1,9,7,8,6,6,0,6,7,2,1,3,1,7,6,0
1988,3,6,2,9,6,9,4,2,7,1,5,6,2,2,8,9,1,0,8,1,3,4,4,9,8,6,1,8,0,6,0
1989,6,7,9,0,7,9,3,1,1,0,1,4,5,5,4,6,1,9,5,9,0,0,8,2,8,4,2,6,2,7,0
1990,5,8,4,2,4,4,8,9,0,6,0,4,8,2,1,9,6,8,4,1,7,0,1,2,2,2,3,9,7,1,0
1991,4,2,5,3,1,0,7,6,4,1,6,2,2,9,9,5,2,5,1,4,5,2,7,4,3,8,9,3,2,6,0
1992,9,2,5,4,0,2,4,2,3,4,4,7,5,3,3,6,9,2,5,5,4,6,6,5,8,0,9,6,7,0,0
1993,7,2,0,3,5,3,8,7,8,5,8,4,7,3,2,4,0,1,6,0,0,3,2,0,4,5,0,8,3,9,0
1994,6,4,0,3,1,3,8,3,7,3,7,2,3,7,2,9,5,1,5,8,7,8,0,6,8,7,3,6,9,3,0
1995,6,9,0,0,9,3,8,4,4,7,8,2,2,7,4,3,8,7,5,2,0,8,7,8,6,6,1,0,6,6,0
1996,4,3,3,2,5,8,7,6,0,0,4,7,4,9,1,5,9,7,5,9,1,0,7,6,4,3,2,4,4,5,0
1997,7,5,5,8,5,9,7,5,2,1,4,8,3,0,3,4,1,5,3,6,2,4,0,1,9,7,6,7,8,7,0
1998,5,3,8,8,5,0,1,4,2,7,9,1,0,2,8,5,3,7,2,7,7,1,8,2,5,3,1,7,0,8,0
1999,1,7,7,7,5,6,6,2,8,6,9,6,2,6,6,2,4,2,1,5,4,7,6,7,0,8,4,7,6,4,0
2000,9,0,6,8,8,3,9,6,8,2,0,3,0,0,3,6,7,8,7,9,3,3,0,3,5,4,7,4,0,4,0
2001,2,2,1,8,9,2,5,4,8,7,4,2,8,2,6,0,3,9,5,4,3,2,9,8,7,3,1,6,5,9,0
2002,9,3,6,4,3,4,6,8,8,7,7,5,3,1,6,9,0,3,3,1,9,6,0,0,5,8,5,7,1,7,0
2003,9,6,2,4,0,5,3,5,6,8,1,0,6,7,0,9,8,0,8,3,9,1,8,7,9,5,9,2,7,9,0
2004,8,1,0,3,2,9,9,9,1,7,1,8,9,5,6,3,4,8,4,1,2,9,9,6,7,7,2,4,3,3,0
2005,3,4,7,4,6,0,4,8,2,4,9,4,2,2,3,8,9,6,2,0,5,1,5,0,3,7,8,5,8,6,0
2006,3,3,3,4,6,4,9,2,7,0,9,3,1,2,0,9,2,0,7,7,0,3,0,3,9,7,3,8,4,4,0
2007,8,6,0,7,8,0,8,5,1,5,5,3,8,5,9,0,6,8,9,4,3,8,2,2,5,4,7,7,4,1,0
2008,3,9,8,3,6,9,7,6,9,8,4,1,8,8,1,9,5,7,5,5,1,1,3,8,2,4,2,4,5,2,0
2009,5,5,9,7,4,2,0,2,2,2,4,4,8,1,1,6,0,2,5,6,6,0,1,9,2,3,2,5,0,6,0
2010,3,2,1,7,8,9,8,1,5,0,0,0,6,9,9,2,0,0,5,9,7,4,9,1,2,8,3,8,7,9,0
2011,9,6,6,4,4,8,3,4,1,8,8,0,0,6,2,2,9,4,5,3,2,6,3,9,4,7,4,0,0,3,0
2012,7,8,6,0,4,7,7,3,5,1,9,0,7,0,3,1,7,4,4,2,9,0,8,8,8,0,1,5,0,3,0
2013,1,0,5,0,4,3,6,7,1,6,1,7,3,4,3,1,0,3,8,2,5,0,4,6,9,8,7,5,1,3,0
2014,4,1,2,5,0,0,6,0,8,5,4,0,8,1,0,0,0,0,9,9,6,2,3,0,3,2,9,2,9,0,0
2015,7,7,8,2,7,6,1,9,8,3,2,2,3,7,7,5,3,9,8,4,0,0,4,3,4,1,0,7,3,9,0
2016,0,7,9,9,3,5,9,9,1,2,5,7,5,9,8,6,3,2,2,4,6,4,8,2,2,6,8,3,6,4,0
2017,6,7,8,5,5,2,6,8,0,7,1,7,1,6,7,0,9,5,9,1,6,0,4,6,7,5,7,1,6,0,0
2018,1,6,4,7,9,3,6,8,2,1,6,2,2,1,9,1,4,8,5,1,8,7,5,5,3,0,8,5,5,9,0
2019,6,8,4,5,8,5,7,8,4,9,1,4,4,4,9,6,4,5,4,5,5,0,0,0,1,6,9,4,8,3,0
2020,9,6,5,3,7,0,1,9,9,3,3,4,9,7,9,9,2,8,8,1,2,2,9,2,7,1,7,9,1,1,0
2021,3,1,6,7,6,9,0,7,2,8,8,9,1,6,9,1,3,3,8,9,5,8,9,5,6,2,8,7,1,0,0
2022,8,6,2,1,5,9,6,0,6,7,1,7,1,0,5,5,1,6,4,8,8,0,7,0,4,2,2,5,7,0,0
2023,7,2,1,6,1,8,0,6,8,3,7,0,3,5,9,7,2,1,9,4,1,9,5,8,0,3,6,1,3,2,0
2024,5,0,7,4,6,8,7,2,2,5,1,4,1,6,9,8,9,7,4,2,5,2,5,5,3,8,7,0,9,3,0
2025,1,9,0,5,5,6,4,9,8,0,8,7,4,9,5,3,2,1,4,3,3,2,0,7,0,9,3,3,2,9,0
2026,9,9,4,4,8,6,6,6,7,8,4,7,9,5,1,2,0,3,3,9,9,1,1,7,1,9,7,7,3,6,0
2027,5,3,4,7,6,8,0,0,3,3,2,2,7,1,0,5,7,6,0,6,2,1,9,4,6,6,5,6,2,9,0
2028,3,7,3,4,3,9,6,2,5,7,6,9,6,6,5,1,6,0,0,3,4,3,3,5,7,3,5,4,4,8,0
2029,5,0,0,4,3,6,7,5,1,9,8,3,3,2,4,9,8,6,9,2,0,0,2,6,0,5,6,1,5,5,0
2030,6,4,5,0,7,5,9,4,6,2,3,3,2,7,7,0,5,8,4,3,7,8,2,3,4,5,2,3,7,3,0
2031,6,8,2,2,7,7,6,1,4,2,5,0,6,8,5,0,8,6,2,2,5,7,4,9,3,7,2,2,9,7,0
2032,9,3,7,9,9,1,0,7,2,5,9,0,5,2,6,3,5,3,7,8,9,2,5,5,4,1,1,8,6,2,0
2033,3,3,2,7,5,3,1,7,7,0,7,7,2,4,2,4,6,7,2,8,5,8,3,5,3,1,6,1,6,6,0
2034,5,1,6,1,5,7,9,3,5,2,8,8,8,2,3,9,0,4,0,8,2,0,5,9,2,6,7,8,7,8,0
2035,7,3,6,5,9,9,9,6,6,1,4,0,9,7,0,0,2,1,2,5,7,3,5,6,9,3,9,3,1,9,0
2036,3,4,9,2,5,9,2,7,2,0,0,7,3,3,7,0,9,9,3,2,7,6,9,7,5,5,0,7,2,8,0
2037,2,5,7,3,6,6,1,1,5,1,9,4,0,6,0,4,3,9,7,2,9,5,4,2,4,4,4,5,9,0,0
2038,4,4,5,9,5,9,1,0,6,2,9,2,3,4,7,3,0,0,6,5,5,4,0,9,2,4,4,0,3,8,0
2039,3,3,9,5,9,5,2,1,0,6,8,5,8,1,0,5,1,9,9,4,3,2,9,1,4,3,0,5,7,4,0
2040,7,9,3,6,1,0,1,6,6,1,1,4,9,3,3,3,4,9,1,2,5,3,9,5,9,2,5,2,0,9,0
2041,0,2,4,1,3,2,8,4,4,5,9,0,4,2,2,6,0,0,1,4,7,3,3,9,5,8,9,4,6,4,0
2042,9,8,9,6,6,8,3,6,7,4,0,1,6,3,9,5,6,2,2,3,1,8,7,4,7,9,1,3,5,2,0
2043,5,9,7,2,0,2,7,5,3,9,9,2,5,3,7,8,8,0,5,0,9,7,8,4,0,0,5,7,1,9,0
2044,0,8,5,2,8,9,0,1,5,7,8,0,8,4,3,5,3,8,1,3,8,7,8,9,9,5,9,8,6,0,0
2045,5,0,4,7,1,5,3,9,7,2,0,5,4,3,2,6,1,6,6,5,9,5,3,5,6,3,0,8,8,2,0
2046,7,0,0,0,9,5,5,6,9,2,0,4,4,4,7,4,9,6,4,6,4,6,9,9,8,0,9,5,7,5,0
2047,6,3,9,8,5,4,5,4,3,3,3,9,3,1,3,4,1,8,7,6,8,2,1,8,9,1,6,3,1,5,0
2048,0,0,9,4,8,4,9,3,7,5,1,7,6,5,1,2,3,5,0,3,0,1,1,8,3,5,8,9,5,2,0
2049,3,8,8,0,8,7,4,3,4,9,7,1,8,0,5,8,5,0,7,6,4,1,9,0,0,1,6,4,4,4,0
2050,6,8,6,0,6,5,1,5,2,2,9,1,0,9,9,3,0,1,1,8,9,7,7,0,7,2,6,7,8,1,0
2051,7,8,0,2,3,0,7,3,6,3,9,1,2,5,2,9,9,5,4,9,3,8,5,7,6,2,8,4,4,6,0
2052,3,7,4,7,1,5,5,5,6,4,1,7,6,6,4,8,4,9,5,2,8,6,5,8,9,2,3,4,0,5,0
2053,3,9,2,0,4,8,0,2,3,2,7,9,8,7,9,9,0,6,3,8,7,7,3,2,7,6,3,5,7,4,0
2054,4,8,8,9,7,4,7,5,1,2,5,9,0,0,6,4,4,9,3,5,6,7,8,7,1,7,2,1,4,0,0
2055,2,9,6,4,4,4,8,4,3,1,8,9,8,4,5,7,9,8,6,3,7,1,5,2,6,8,6,6,5,3,0
2056,5,1,8,4,5,6,0,8,1,3,3,8,7,8,0,6,3,9,4,9,8,7,0,0,4,8,9,0,9,8,0
2057,7,0,1,4,1,5,1,1,5,4,9,6,0,4,8,9,6,4,9,6,0,3,6,9,1,2,4,4,5,4,0
2058,8,0,6,1,4,9,7,4,9,7,3,3,1,5,1,1,3,3,3,0,1,9,2,2,6,4,5,1,1,7,0
2059,7,5,3,9,1,3,0,4,0,0,0,9,1,3,1,2,3,2,0,5,6,6,4,8,1,9,5,2,3,3,0
2060,5,1,2,1,8,5,2,1,6,4,2,3,5,0,0,1,1,0,4,3,1,1,5,0,1,4,6,3,1,3,0
2061,2,6,7,6,3,6,9,4,2,3,2,8,4,7,8,1,0,0,8,0,7,3,5,8,5,5,4,5,7,6,0
2062,9,4,7,3,9,2,5,9,0,3,7,8,7,2,6,5,9,5,4,3,2,8,9,2,4,6,6,8,8,2,0
2063,9,9,4,2,0,4,8,7,0,0,0,6,2,8,9,5,9,9,6,7,1,4,1,0,5,5,6,8,5,6,0
2064,6,4,5,4,6,7,5,9,3,6,8,4,6,4,3,0,0,4,7,6,8,3,3,7,7,5,8,8,2,8,0
2065,4,6,5,2,7,5,8,0,8,7,2,8,3,4,0,5,9,5,6,9,6,7,0,3,1,0,8,7,3,6,0
2066,6,2,5,1,1,6,8,1,3,6,5,5,9,7,1,9,2,5,1,8,7,4,5,1,2,9,8,1,3,7,0
2067,5,8,8,0,7,7,9,8,9,2,5,4,9,4,2,4,6,6,0,9,7,2,2,4,3,4,6,2,7,6,0
